id;quote;source;author;approved;published_at
71;Alt er av nåde. Og da må du erkjenne at du trenger nåde.;Fra Kåre 15. mai 2024;Kåre J. Smith;y;24/06/2024
72;Alt makter jeg i ham som gjør meg sterk.;Filipperne 4:13;;y;25/06/2024
73;Alt skal skje til oppbyggelse.;Johan O. Smiths Etterlatte Brev #267;Johan O. Smith;y;26/06/2024
74;Av alt lærer jeg å tåle mer og mer.;Johan O. Smiths Etterlatte Brev #101;Johan O. Smith;y;27/06/2024
75;Be til Gud i hjertets enfold, be om fedresinn. Bli en hyrde nu i sjel og sinn.;HV 135;Edwin Bekkevold;y;28/06/2024
76;Be ydmykt om nåde og vær for fremtiden nøye, såre nøye, med å ta opp korset hver dag.;Johan O. Smiths Etterlatte Brev #***;Johan O. Smith;y;29/06/2024
77;Bedre enn gull er trofasthet. Den gjør deg rik, den gjør det slik at du i alt får glede, fred.;HV 231;Elihu Pedersen;y;30/06/2024
78;Benytt tiden og du skal få se et rikt utbytte av ditt arbeid.;Johan O. Smiths Etterlatte Brev #152;Johan O. Smith;y;01/07/2024
79;Bli en Herrens krigsmann, det gir evig verd.;HV 266;Elihu Pedersen;y;02/07/2024
80;Dager går, de kommer ei tilbake. Må jeg ei ha levd forgjeves her.;HV 162;Mary Pedersen;y;03/07/2024
81;Alt dere ber om i bønnen, tro bare at dere får det, så skal det bli gitt dere.;Markus 11:24;;y;04/07/2024
82;Dersom dere blir i meg, og mine ord blir i dere, da be om hva dere vil, og dere skal få det.;Johannes 15:7;;y;05/07/2024
83;Dersom dere blir i mitt ord, da er dere i sannhet mine disipler.  Og dere skal kjenne sannheten, og sannheten skal frigjøre dere.;Johannes 8:31-32;;y;06/07/2024
84;Det beste Gud har gitt meg, er sitt lys som oppklarer mitt mørke.;Johan O. Smiths Etterlatte Brev #191;Johan O. Smith;y;07/07/2024
85;Det er mange trengsler i denne verden - men alt tjener oss til gode.;Johan O. Smiths Etterlatte Brev #174;Johan O. Smith;y;08/07/2024
86;Det hjelper å be og ikke bli trett.;Johan O. Smiths Etterlatte Brev #268;Johan O. Smith;y;09/07/2024
87;Ditt ord er en lykt for min fot og et lys på min sti.;Salmene 119:105;;y;10/07/2024
88;Du som er ung og sterk, nøl ei, men sett i verk Guds vilje god.;HV 223;Edwin Bekkevold;y;11/07/2024
89;Elsk ikke verden, heller ikke de ting som er i verden! Om noen elsker verden, da er ikke Faderens kjærlighet i ham.;1 Johannes 2:15;;y;12/07/2024
90;En liten avvikelse fra veien blir stadig større etter hvert.;Johan O. Smiths Etterlatte Brev #58;Johan O. Smith;y;13/07/2024
91;Herren er min hyrde, det mangler meg ingen ting.  Han lar meg ligge i grønne enger, han leder meg til hvilens vann. Han fornyer min sjel, han fører meg på rettferdighets stier for sitt navns skyld.;Salmene 23:1-3;;y;14/07/2024
92;Enhver skal prøves, og det med ild. Salig hver den som blir stående.;Johan O. Smiths Etterlatte Brev #257;Johan O. Smith;y;15/07/2024
93;Er du i verden blitt et lys og salt? Er Kristus blitt for deg ditt hjertes alt?;HV 371;Aksel J. Smith;y;16/07/2024
94;For alt det som er født av Gud, seirer over verden. Og dette er den seier som har seiret over verden: vår tro.;1 Johannes 5:4;;y;17/07/2024
95;For Guds ord er levende og virksomt og skarpere enn noe tveegget sverd. Det trenger igjennom helt til det kløver sjel og ånd, ledd og marg, og dømmer hjertets tanker og råd.;Hebreerne 4:12;;y;18/07/2024
96;For i trengslene der fikk han kjenne hva som bodde i kødet.;Fra Kåre 28. mai 2024;Kåre J. Smith;;19/07/2024
97;For ingenting er umulig for Gud. ;Lukas 1:37;;y;20/07/2024
98;For jeg vet de tanker jeg tenker om dere, sier Herren. Det er fredstanker og ikke tanker til ulykke. Jeg vil gi dere fremtid og håp.;Jeremia 29:11;;y;21/07/2024
99;For så har Gud elsket verden at han ga sin Sønn, den enbårne, for at hver den som tror på ham, ikke skal fortapes, men ha evig liv.;Johannes 3:16;;y;22/07/2024
100;For vi vet at alle ting samvirker til gode for dem som elsker Gud, dem som etter hans råd er kalt.;Romerne 8:28;;y;23/07/2024
101;Bli sterke i Herren og i hans veldige kraft! Ta på dere Guds fulle rustning, så dere kan holde stand mot djevelens listige angrep.;Efeserne 6:10-11;;y;24/07/2024
102;Fred etterlater jeg dere. Min fred gir jeg dere. Ikke som verden gir, gir jeg dere. La ikke deres hjerte forferdes, frykt ikke! ;Johannes 14:27;;y;25/07/2024
103;Frykt ikke, for jeg er med deg! Se deg ikke engstelig om, for jeg er din Gud! Jeg styrker deg og hjelper deg og holder deg oppe med min rettferds høyre hånd. ;Jesaja 41:10;;y;26/07/2024
104;Gi deg som et offer for Guds rikes sak. Frykt nå ei, for Gud står bak.;HV 266;Elihu Pedersen;y;27/07/2024
105;Gjør deg beredt, snart kamp og strid er omme. Lykksalig den som troner med ham der.;HV 403;Christen Zürcher;y;28/07/2024
106;Gled deg i Herren! Så skal han gi deg det ditt hjerte trakter etter.;Salme 37:4;;y;29/07/2024
107;Gud er med, frykt ikke, han skal gi nåde og seier til slutt.;Johan O. Smiths Etterlatte Brev #154;Johan O. Smith;y;30/07/2024
108;Gud være takk at han alltid gir oss noe å beseire.;Johan O. Smiths Etterlatte Brev #203;Johan O. Smith;y;31/07/2024
109;Gå i vei med det du har, og vent nå ei til siden. Det er ikke lenger tid til ro og mak.;HV 215;Elihu Pedersen;y;01/08/2024
110;Han har sagt deg, menneske, hva som er godt. Og hva krever Herren av deg uten at du skal gjøre rett og gjerne vise kjærlighet og vandre ydmykt med din Gud? ;Mika 6:8;;y;02/08/2024
111;Han hater lunkenhet, for han brenner selv av nidkjærhet.;Johan O. Smiths Etterlatte Brev #27;Johan O. Smith;y;03/08/2024
112;Du skal elske Herren din Gud av hele ditt hjerte og av hele din sjel og av all din forstand.  Dette er det største og første budet. Men et annet er like stort: Du skal elske din neste som deg selv.;Matteus 22:37-39;;y;04/08/2024
113;Har jeg ikke befalt deg: Vær frimodig og sterk! Frykt ikke, og vær ikke redd! For Herren din Gud er med deg i alt det du tar deg fore.;Josva 1:9;;y;05/08/2024
114;Herren din Gud er i din midte, en helt som frelser. Han fryder seg over deg med glede, han tier i sin kjærlighet, han jubler over deg med fryderop.;Sefanja 3:17;;y;06/08/2024
115;Herren er mitt lys og min frelse, hvem skulle jeg frykte? Herren er mitt livs vern, hvem skulle jeg engstes for?;Salmene 27:1;;y;07/08/2024
116;Hold opp, og kjenn at jeg er Gud! Jeg er opphøyet blant folkene, opphøyet på jorden.;Salmene 46:11;;y;08/08/2024
117;Hva Gud virker i deg, må du selvfølgelig lyde, som du ville lyde en jordisk leges råd.;Johan O. Smiths Etterlatte Brev #94;Johan O. Smith;y;09/08/2024
118;Hvem vil være med og stride nå for sannhets sak? Hvem vil tåle, bære, lide? Hvem er du'lig til et tak?;HV 347;Morten Smith;y;10/08/2024
119;Jag etter fred med alle, og etter helliggjørelse. For uten helliggjørelse skal ingen se Herren.;Hebreerne 12:14;;y;11/08/2024
120;Jeg lever ikke meg selv, det er mitt vitnesbyrd. Vil du vitne det samme – og kan du vitne det samme?;Johan O. Smiths Etterlatte Brev #8;Johan O. Smith;y;12/08/2024
121;Jesus kan skape nytt liv og ny herlighet for oss alle sammen.;Fra Kåre 21. mai 2024;Kåre J. Smith;y;13/08/2024
122;Ha tro til Gud! Sannelig sier jeg dere at den som sier til dette fjellet: Løft deg og kast deg i havet! - og ikke tviler i sitt hjerte, men tror at det han sier skal skje, for ham skal det skje. ;Markus 11:22-23;;y;14/08/2024
123;Jo, har Gud satt på oss navn som Jesu Kristi stridsmenn, så har han utrustet oss til kamp, og han har også fiender vi skal bekjempe.;Johan O. Smiths Etterlatte Brev #128;Johan O. Smith;y;15/08/2024
124;Kom til meg, alle som strever og har tungt å bære, og jeg vil gi dere hvile! ;Matteus 11:28;;y;16/08/2024
125;Kun på korset blir det åndens enhet og fred i hjem og menighet;HV 365;Aksel J. Smith;y;17/08/2024
126;La deg ikke overvinne av det onde, men overvinn det onde med det gode.;Romerne 12:21;;y;18/08/2024
127;La Kristi ord bo rikelig blant dere, så dere lærer og formaner hverandre i all visdom med salmer og lovsanger og åndelige viser og synger med takknemlighet i deres hjerter for Gud.;Kolosserne 3:16;;y;19/08/2024
128;La oss holde urokkelig fast ved bekjennelsen av vårt håp, for han er trofast som ga løftet.;Hebreerne 10:23;;y;20/08/2024
129;Lev i Ånden, tro i Ånden, bed i Ånden, strid mot kjødet i Ånden og i alle deler vær lydig mot Ånden, ja da har du Ånden.;Johan O. Smiths Etterlatte Brev #265;Johan O. Smith;y;21/08/2024
130;Livet er kort, det gjelder å våke.;Johan O. Smiths Etterlatte Brev #114;Johan O. Smith;y;22/08/2024
131;Lykkelig kan bare den være som tror på Jesu ord og gir Jesus makt i sitt liv. Det blir lykkelige mennesker.;Fra Kåre 30. mai 2024;Kåre J. Smith;y;23/08/2024
132;Lær meg, Gud, å telle mine dager! Kun en stund jeg her til huse er.;HV 162;Mary Pedersen;y;24/08/2024
133;Men de som venter på Herren, får ny kraft. De løfter vingene som ørner. De løper og blir ikke utmattet, de går og blir ikke trette.;Jesaja 40:31;;y;25/08/2024
134;Men nå blir de stående disse tre: tro, håp og kjærlighet. Men størst blant dem er kjærligheten.;1 Korinter 13:13;;y;26/08/2024
135;Men uten tro er det umulig å være til behag for Gud. For den som trer fram for Gud, må tro at han er til, og at han lønner dem som søker ham.;Hebreerne 11:6;;y;27/08/2024
136;Men vær Ordets gjørere, ikke bare dets hørere, ellers vil dere bedra dere selv.;Jakob 1:22;;y;28/08/2024
137;Mine barn! Dere er av Gud, og har seiret over dem. For han som er i dere, er større enn han som er i verden.;1 Johannes 4:4;;y;29/08/2024
138;Må Gud gi oss nåde og kraft å tro på ham, tro på et seirende liv.;Fra Kåre 21. mai 2024;Kåre J. Smith;y;30/08/2024
139;Må jeg ydmyk bli, og stadig bøyes, så jeg ikke mere søker mitt!;HV 162;Mary Pedersen;y;31/08/2024
140;Må så håpets Gud fylle dere med all glede og fred i troen, så dere kan være rike på håp ved Den Hellige Ånds kraft.;Romerne 15:13;;y;01/09/2024
141;Når ditt hjerte så blir fylt med lys og varme, blir du selv en sol på all din vandringsvei.;HV 407;Filip Bekkevold;y;02/09/2024
142;Når Gud er med i alle ting, da er det velsignet å leve.;Johan O. Smiths Etterlatte Brev #176;Johan O. Smith;y;03/09/2024
143;Når vi vil dele gleden med Kristus, så får vi også være villig til å dele lidelsen med ham.;Johan O. Smiths Etterlatte Brev #60;Johan O. Smith;y;04/09/2024
144;Og dette er den frimodige tilliten vi har til ham, at dersom vi ber om noe etter hans vilje, så hører han oss.;1 Johannes 5:14;;y;05/09/2024
145;Og kast all deres bekymring på ham, for han har omsorg for dere.;1 Peter 5:7;;y;06/09/2024
146;Og skikk dere ikke lik denne verden, men bli forvandlet ved at deres sinn fornyes, så dere kan dømme om hva som er Guds vilje: det gode, det som han har behag i, det fullkomne. ;Romerne 12:2;;y;07/09/2024
147;Om dere har tro som et sennepsfrø, kan dere si til dette fjellet: Flytt deg herfra og dit! Og det skal flytte seg. Og ingen ting skal være umulig for dere.;Matteus 17:20;;y;08/09/2024
148;Om enn hele helved’s hær imot deg står, i Guds kraft du seier får.;HV 266;Elihu Pedersen;y;09/09/2024
149;Opp alle, som sover! Se dagen er nær! Så rens deg, og ifør deg snehvite klær. ;HV 205;Johan O. Smith;y;10/09/2024
150;Personlige liv må leves i alle sine enkeltheter, i kamp, i seier, i sorg, i glede, i ondt rykte, i godt rykte, i lidelser, i forfølgelser...;Johan O. Smiths Etterlatte Brev #103;Johan O. Smith;y;11/09/2024
151;Prøvene er velsignelser omkledd.;Johan O. Smiths Etterlatte Brev #30;Johan O. Smith;y;12/09/2024
152;Reis deg til strid, hver kvinne og mann. Gjør hva du kan, bryt deg nytt land.;HV 401;Filip Bekkevold;y;13/09/2024
153;Sett deg ikke lave mål, men sett dem høyt, så når du høyt.;Johan O. Smiths Etterlatte Brev #144;Johan O. Smith;y;14/09/2024
154;Sett din lit til Herren av hele ditt hjerte, og stol ikke på din forstand! Kjenn ham på alle dine veier! Så skal han gjøre dine stier rette. ;Salomos Ordspråk 3:5-6 ;;y;15/09/2024
155;Slik er det også med troen. Dersom den ikke har gjerninger, er den død i seg selv. ;Jakob 2:17;;y;16/09/2024
156;Snart er det natt. Vår arbeidstid er endt. Hvor er din skatt? Er lyset i deg tent?;HV 371;Aksel J. Smith;y;17/09/2024
157;Søk da først Guds rike og hans rettferdighet, så skal dere få alt dette i tillegg!;Matteus 6:33;;y;18/09/2024
158;Ta vare på å gjøre etter alt hva Herren har befalt!!!;Johan O. Smiths Etterlatte Brev #190;Johan O. Smith;y;19/09/2024
159;Tiden er vårt liv!;Johan O. Smiths Etterlatte Brev #173;Johan O. Smith;y;20/09/2024
160;Tjen Herren din Gud av et helt og brennende hjerte.;Fra Kåre 20. mai 2024;Kåre J. Smith;y;21/09/2024
161;Troen taler kun om dagen her i dag, glemmer alt det gamle til Guds velbehag;HV 412;Sverre L. Riksfjord;y;22/09/2024
162;Uten Gud ingen sann glede finnes.;Johan O. Smiths Etterlatte Brev #1;Johan O. Smith;y;23/09/2024
163;Ved tro kan jeg bevare et rent hjerte;Fra Kåre 16. mai 2024;Kåre J. Smith;y;24/09/2024
164;Vi må ikke tenke på å komme gjennom verden seirende uten å kjempe.;Johan O. Smiths Etterlatte Brev #236;Johan O. Smith;y;25/09/2024
165;Vær alltid glade! Be uten opphold! Takk for alt! For dette er Guds vilje for dere i Kristus Jesus.;1 Tessaloniker 5:16-18;;y;26/09/2024
166;Vær blant de kloke fem, som ydmykt skrider frem;HV 207;Karl Pedersen;y;27/09/2024
167;Vær et selvstendig menneske – tenk selv og hør selv, les selv i skriftene og døm og bedøm selv i alle ting, da vil du bli åndelig og nyttig i Herrens tjeneste.;Johan O. Smiths Etterlatte Brev #***;Johan O. Smith;y;28/09/2024
168;Vær fri for alt og alle – for Herren skal sørge for deg.;Johan O. Smiths Etterlatte Brev #151;Johan O. Smith;y;29/09/2024
169;Vær frimodig og sterk!!!;Johan O. Smiths Etterlatte Brev #190;Johan O. Smith;y;30/09/2024
170;Vær frimodige og sterke! Frykt ikke og vær ikke redd for dem! For Herren din Gud går selv med deg, han skal ikke slippe deg og ikke forlate deg.;5 Mosebok 31:6;;y;01/10/2024
171;Vær glade i håpet, tålmodige i trengselen, vedholdende i bønnen!;Romerne 12:12;;y;02/10/2024
172;Vær ikke bekymret for noe, men la i alle ting bønneemnene deres komme fram for Gud i påkallelse og bønn med takk.;Filipperne 4:6;;y;03/10/2024
173;Vær ikke lunkne i iveren! Vær brennende i ånden, tjen Herren!;Romerne 12:11;;y;04/10/2024
174;Våk! Stå faste i troen! Vær mandige! Vær sterke!;1 Korinter 16:13;;y;05/10/2024
175;Stol på Herren av hele ditt hjerte, og støtt deg ikke på din forstand. Tenk på ham på alle dine veier, så skal han gjøre stiene dine rette.;Ordspråkene 3:5-6;/;y;06/10/2024
176;Tiden er kort, nå det gjelder være på vakt hver en stund,;HV 253;/;y;07/10/2024
177;Tro er full visshet om det en håper, overbevisning om ting en ikke ser.;Hebreerne 11:1;/;y;08/10/2024
178;Tror du, så har du allerede hva du begjærer og kan fremføre din bønn med takksigelse.;Johan O. Smiths Etterlatte Brev #95;Johan O. Smith;y;09/10/2024
179;Uten en indre bønn til Gud, og å være i bønnens ånd, så har du ikke de kreftene i deg så du kan gi næring og hjelp med ordet.;Fra Kåre 23. april 2024;Kåre J. Smith;y;10/10/2024
180;Ved å høre, tro og lyde blir vårt liv så akkurat, vår tale så fullkommen og vår omgengelse så ren som om Ordet var blitt kjød.;Johan O. Smiths Etterlatte Brev #98;Johan O. Smith;y;11/10/2024
181;Vi elsker fordi han elsket oss først.;1 Johannes 4:19;/;y;12/10/2024
182;Vi skal aldri se på vanskelighetene som noe uovervinnelig, men vi skal vurdere de for hva de er, og så regne med Guds kraft.;Johan O. Smiths Etterlatte Brev #157;Johan O. Smith;y;13/10/2024
183;Vi vet at alle ting samvirker til det gode for dem som elsker Gud, de som er kalt etter hans råd.;Romerne 8:28;/;y;14/10/2024
184;Vær alltid glade, be uavbrutt, takk Gud under alle omstendigheter. Dette er Guds vilje med dere i Kristus Jesus.;1 Tessalonikerne 5:16-18;/;y;15/10/2024
185;Vær gode mot hverandre, hjertelige, tilgi hverandre, slik Gud har tilgitt dere i Kristus.;Efeserne 4:32;/;y;16/10/2024
186;Vær ikke bekymret for noe, men la i alle ting deres ønsker komme fram for Gud i bønn og påkallelse med takk.;Filipperne 4:6;/;y;17/10/2024